"","GameID","ESPNGameID","Possession","StartPossScoreDiff","TimeBins","PossTeamWin","TimeoutCalledInitially","StartTmScore","StartOppScore","StartTmPtsPerPoss","StartOppPtsPerPoss","HomePoss","IsPlayoffs","StartEvent","SecondsSinceLastTimeout","ScoreDiffLastMinute","off_rating","def_rating"
"2945","201810260SAC",401070754,227,-2,"(18,24]",FALSE,TRUE,109,111,0.964601769911504,0.982300884955752,FALSE,FALSE,"Make",45,-1,0.988404581075985,1.0682343623589
"2946","201810290SAS",401070775,210,-1,"(6,12]",FALSE,FALSE,101,102,0.966507177033493,0.976076555023923,FALSE,FALSE,"Drb",31,-2,1.01166959601397,1.10406918920909
"2947","201810310CHI",401070787,194,0,"[0,6]",TRUE,TRUE,98,98,1.01554404145078,1.01554404145078,FALSE,FALSE,"Live Ball Turnover",1,0,1.02889110286315,1.10349156916996
"2948","201810310LAL",401070790,219,-2,"(12,18]",FALSE,TRUE,111,113,1.01834862385321,1.03669724770642,FALSE,FALSE,"Make",218,3,0.998452358893432,1.06211349536175
"2949","201810310LAL",401070790,221,-1,"[0,6]",FALSE,FALSE,113,114,1.02727272727273,1.03636363636364,FALSE,FALSE,"Make",15,4,0.998452358893432,1.06211349536175
"2950","201811010BOS",401070796,213,-2,"(12,18]",FALSE,FALSE,111,113,1.04716981132075,1.06603773584906,FALSE,FALSE,"Live Ball Turnover",182,0,1.06367288720176,0.906866585979748
"2951","201811030IND",401070808,198,-1,"[0,6]",FALSE,TRUE,101,102,1.0253807106599,1.03553299492386,FALSE,FALSE,"Make",25,-4,0.965445577281271,0.999251510656027
"2952","201811040PHO",401070818,200,-2,"[0,6]",FALSE,TRUE,100,102,1.00502512562814,1.0251256281407,FALSE,FALSE,"Make",27,-2,1.0003377627776,1.07027428848462
"2953","201811050ORL",401070823,198,0,"(6,12]",FALSE,TRUE,100,100,1.01522842639594,1.01522842639594,FALSE,FALSE,"Drb",6,-2,0.99622628867621,1.04216995751375
"2954","201811070LAL",401070843,203,-2,"(6,12]",FALSE,TRUE,110,112,1.08910891089109,1.10891089108911,FALSE,FALSE,"Drb",57,-1,1.01079474703165,1.05139406410518
"2955","201811070MEM",401070839,190,-2,"[0,6]",FALSE,TRUE,87,89,0.920634920634921,0.941798941798942,FALSE,FALSE,"Make",13,0,1.04512820936951,0.987299942583542
"2956","201811090DEN",401070852,214,0,"(18,24]",TRUE,TRUE,110,110,1.03286384976526,1.03286384976526,FALSE,FALSE,"Dead Ball Turnover",7,4,1.04391491720628,0.963031223855388
"2957","201811100CHI",401070859,202,-1,"(12,18]",FALSE,TRUE,98,99,0.975124378109453,0.985074626865672,FALSE,FALSE,"Live Ball Turnover",270,0,0.98400260042749,1.05100647307959
"2958","201811100LAC",401070856,247,-2,"[0,6]",FALSE,TRUE,126,128,1.02439024390244,1.04065040650407,FALSE,FALSE,"Make",299,-2,1.08871870743381,0.994351342167608
"2959","201811110LAL",401070870,221,-1,"(12,18]",FALSE,TRUE,106,107,0.963636363636364,0.972727272727273,FALSE,FALSE,"Make",79,-2,0.960860766554695,1.02763624037466
